"package","priority"
"base","base"
"compiler","base"
"datasets","base"
"graphics","base"
"grDevices","base"
"grid","base"
"methods","base"
"parallel","base"
"splines","base"
"stats","base"
"stats4","base"
"tcltk","base"
"tools","base"
"translations","base"
"utils","base"
"boot","recommended"
"class","recommended"
"cluster","recommended"
"codetools","recommended"
"lattice","recommended"
"foreign","recommended"
"KernSmooth","recommended"
"MASS","recommended"
"Matrix","recommended"
"mgcv","recommended"
"nlme","recommended"
"nnet","recommended"
"rpart","recommended"
"spatial","recommended"
"survival","recommended"
